NO.,FRENCH VERSION,ENGLISH VERSION
535,"Le fou se demande, le sage demande. -Benjamin Disraëli","The fool wonders, the wise man asks. -Benjamin Disraeli"
536,Le grand but de l'éducation n'est pas la connaissance mais l'action. Herbert Spencer,The great aim of education is not knowledge but action. Herbert Spencer 
537,"Le guerrier qui réussit est l'homme moyen, avec une concentration de type laser. - Bruce Lee","“The successful warrior is the average man, with laser-like focus.” — Bruce Lee"
538,"Le guerrier qui réussit est l'homme moyen, avec une focalisation de type laser. Bruce Lee","The successful warrior is the average man, with laser-like focus. Bruce Lee"
539,Le langage de l'amitié n'est pas des mots mais des significations. -Henry David Thoreau,The language of friendship is not words but meanings. -Henry David Thoreau
540,Le leadership est la capacité de traduire une vision en réalité. Warren Bennis,Leadership is the capacity to translate vision into reality. Warren Bennis
541,Le leadership est la capacité de traduire une vision en réalité. —Warren Bennis, Leadership is the capacity to translate vision into reality. —Warren Bennis
542,"Le leadership, c'est l'influence. John C. Maxwell",Leadership is influence. John C. Maxwell
543,"Le leadership, c'est l'influence. —John C. Maxwell",Leadership is influence. —John C. Maxwell
544,Le meilleur style est le style que vous ne remarquez pas. Somerset Maugham,The best style is the style you don’t notice. Somerset Maugham
545,"Le mensonge est facile, la vérité si difficile.- George Eliot","Falsehood is easy, truth so difficult.- George Eliot"
546,Le mieux se rencontre peu.,Seldom comes a better.
547,Le moment le plus effrayant est toujours juste avant de commencer. Stephen King,The scariest moment is always just before you start. Stephen King
548,"Le monde entier est une scène, et tous les hommes et femmes ne sont que des acteurs.","All the world’s a stage, and all the men and women merely players."
549,Le monde est petit,It's a small world
550,"Le mystère est au cœur de la créativité. Ça, et surprise. Julia Cameron","Mystery is at the heart of creativity. That, and surprise. Julia Cameron"
551,Le mystère ultime est soi-même. -Sammy Davis Jr.,The ultimate mystery is one’s own self. -Sammy Davis Jr.
552,"Le pardon ne change pas le passé, mais il élargit l'avenir. -Paul Boese","Forgiveness does not change the past, but it does enlarge the future. -Paul Boese"
553,Le passé ne correspond pas au futur. -Tony Robbins,The past does not equal the future. -Tony Robbins
554,Le pire ennemi de la créativité est le doute de soi. Sylvia Plath,The worst enemy to creativity is self-doubt. Sylvia Plath
555,Le plaisir au travail met la perfection dans le travail. Aristote,Pleasure in the job puts perfection in the work. Aristotle
556,Le plaisir le plus noble est la joie de comprendre. Léonard de Vinci,The noblest pleasure is the joy of understanding. Leonardo da Vinci
557,Le plus grand bonheur de la vie est d'être convaincu que nous sommes aimés. -Victor Hugo,Life’s greatest happiness is to be convinced we are loved. -Victor Hugo
558,"Le plus grand cadeau de la vie est l'amitié, et je l'ai reçue. -Hubert H. Humphrey","The greatest gift of life is friendship, and I have received it. -Hubert H. Humphrey"
559,Le plus grand cadeau est une partie de toi-même. -Ralph Waldo Emerson,The greatest gift is a portion of thyself. -Ralph Waldo Emerson
560,Le plus grand remède contre la colère est le retard. Lucius Annaeus Sénèque,The greatest remedy for anger is delay. Lucius Annaeus Seneca
561,Le plus puissant est celui qui se tient en son propre pouvoir. Lucius Annaeus Sénèque,Most powerful is he who has himself in his own power. Lucius Annaeus Seneca
562,Le plus riche est celui qui se contente du moins. -Socrate,He is richest who is content with the least. -Socrates
563,Le pouvoir corrompt ; le pouvoir absolu corrompt absolument.,Power corrupts; absolute power corrupts absolutely.
564,Le premier brouillon de quoi que ce soit est de la merde. Ernest Hemingway,The first draft of anything is shit. Ernest Hemingway
565,Le principal ennemi de la créativité est le bon sens. Pablo Picasso,The chief enemy of creativity is good sense. Pablo Picasso
566,Le problème est que s'inquiéter ne résout rien.Celestine Chua,The problem is that worrying doesn’t actually solve anything.Celestine Chua
567,Le problème est que vous pensez que vous avez le temps. -Jack Kornfield,"The trouble is, you think you have time. -Jack Kornfield"
568,Le regret du temps perdu est encore du temps perdu. Mason Cooley,Regret for wasted time is more wasted time. Mason Cooley
569,Le remède souverain contre l'inquiétude est la prière. Guillaume James,The sovereign cure for worry is prayer. William James
570,Le remords est le poison de la vie. Charlotte Brontë,Remorse is the poison of life. Charlotte Bronte
571,Le respect de soi ne connaît aucune considération. -Mohandas Gandhi,Self-respect knows no considerations. -Mohandas Gandhi
572,Le résultat final de la gentillesse est qu'elle attire les gens vers vous. -Anita Roddick,The end result of kindness is that it draws people to you. -Anita Roddick
573,Le résultat le plus élevé de l'éducation est la tolérance. Helen Keller,The highest result of education is tolerance. Helen Keller
574,Le sage apprend beaucoup de choses de ses ennemis. Aristophane,The wise learns many things from their enemies. Aristophanes
575,Le secret du succès est la constance du but. Benjamin Disraëli,The secret of success is constancy of purpose. Benjamin Disraeli
576,Le seul sens de la vie est de servir l'humanité. -Léon Tolstoï,The sole meaning of life is to serve humanity. -Leo Tolstoy
577,Le signe le plus certain de la sagesse est la gaieté. Michel de Montaigne,The most certain sign of wisdom is cheerfulness. Michel de Montaigne
578,Le silence est d'or,Silence is golden
579,Le silence est la meilleure réponse de la vraie sagesse. Euripide,Silence is true wisdom’s best reply. Euripides
580,Le sort est jeté,The die is cast = alea jacta est
581,"Le sot fait le festin, et l'habile le mange.","Fools make feast, and wise man eat them"
582,Le succès est là où la préparation et l'opportunité se rencontrent. Bobby Unser,Success is where preparation and opportunity meet. Bobby Unser
583,"Le succès est la somme de petits efforts, répétés jour après jour. Robert Collier","Success is the sum of small efforts, repeated day in and day out. Robert Collier"
584,Le succès est l'accumulation de petits avantages au fil du temps.Aaron Lynn,Success is the accumulation of small advantages over time.Aaron Lynn
585,Le succès est l'enfant de l'audace. Benjamin Disraëli,Success is the child of audacity. Benjamin Disraeli
586,Le succès n'a de sens et de plaisir que s'il vous ressemble. Michelle obama,Success is only meaningful and enjoyable if it feels like your own. Michelle Obama
587,"Le succès n'est pas un bon professeur, l'échec rend humble. Chahrukh Khan","Success is not a good teacher, failure makes you humble. Shahrukh Khan"
588,"Le succès, c'est marcher d'échec en échec sans perdre d'enthousiasme.- Winston Churchill", “Success is walking from failure to failure with no loss of enthusiasm.”- Winston Churchill
589,Le temps c'est de l'argent.- Benjamin Franklin,Time is money.- Benjamin Franklin
590,Le temps découvre la vérité.- Lucius Annaeus Seneca,Time discovers truth.- Lucius Annaeus Seneca
591,"Le temps est ce que nous voulons le plus, mais ce que nous utilisons le moins. -William Penn","Time is what we want most, but what we use worst. -William Penn"
592,Le temps est l'âme de ce monde. -Pythagoras,Time is the soul of this world. -Pythagoras
593,Le temps est le conseiller le plus sage de tous. -Périclès,Time is the wisest counsellor of all. -Pericles
594,Le temps est un jeu magnifiquement joué par les enfants.- Héraclite,Time is a game played beautifully by children.- Heraclitus
595,Le temps facilite toutes choses.-Sophocle,Time eases all things.-Sophocles
596,Le temps fait passer toutes choses. -Eschyle,Time brings all things to pass. -Aeschylus
597,Le temps n'est que le ruisseau dans lequel je vais pêcher. -Henry David Thoreau,Time is but the stream I go fishing in. -Henry David Thoreau
598,Le temps perdu n'est jamais retrouvé. -Benjamin Franklin,Lost time is never found again. -Benjamin Franklin
599,"Le temps, c'est de l'argent",Time is money
600,Le vin a noyé plus de gens que l'eau.,"Bacchus has drowned more men, than Neptune."
601,Le vin entre la raison sort,"When the wine is in, the wit is out"
602,Le voyage de mille miles commence par un pas. Lao Tseu,The journey of a thousand miles begins with one step. Lao Tzu
603,"Le vrai bonheur naît, en premier lieu, de la jouissance de soi-même. -Joseph Addison","True happiness arises, in the first place, from the enjoyment of one’s self. -Joseph Addison"
604,Le vrai succès est la personne qui s'est inventée. -Al Goldstein,The true success is the person who invented himself. -Al Goldstein
605,Le zèle fera plus que la connaissance. Guillaume Hazlitt,Zeal will do more than knowledge. William Hazlitt 
606,"L'échec ambitieux, l'échec magnifique, c'est une très bonne chose. Guy Kawasaki","Ambitious failure, magnificent failure, is a very good thing. Guy Kawasaki"
607,L'échec est le condiment qui donne sa saveur au succès. Truman Capote,Failure is the condiment that gives success its flavor. Truman Capote
608,L'échec est le succès si nous apprenons de lui. Malcom Forbes,Failure is success if we learn from it. Malcolm Forbes
609,L'échec est un autre tremplin vers la grandeur. - Oprah Winfrey, “Failure is another steppingstone to greatness.” — Oprah Winfrey
610,"L'échec est un détour, pas une voie sans issue. Zig Ziglar","Failure is a detour, not a dead-end street. Zig Ziglar"
611,L'échec fait naturellement partie de la vie. Jean Malkovitch,Failure’s a natural part of life. John Malkovich
612,"L'échec n'est pas fatal, mais le fait de ne pas changer peut l'être. Jean en bois","Failure is not fatal, but failure to change might be. John Wooden"
613,"L'échec n'est pas fatal, mais le fait de ne pas changer peut l'être. Jean en bois","Failure is not fatal, but failure to change might be. John Wooden"
614,L'éducation est l'artisanat de l'âme. Cornel Ouest,Education is soul crafting. Cornel West
615,L'éducation n'est pas remplir un seau mais allumer un feu. William Butler Yeats,Education is not filling a pail but the lighting of a fire. William Butler Yeats
616,L'énergie et la persistance conquièrent toutes les choses. Benjamin Franklin,Energy and persistence conquer all things. Benjamin Franklin
617,L'enfer n'a pas de fureur comme une femme méprisée.,Hell has no fury like a woman scorned.
618,"L'enfer, c'est les autres.",Hell is other people.
619,L'ennui : le désir des désirs. -Léon Tolstoï,Boredom: the desire for desires. -Leo Tolstoy
620,L'enseignement est la plus haute forme de compréhension. Aristote,Teaching is the highest form of understanding. Aristotle
621,"Lentement mais surement, on réussit.",Slow and steady wins the race.
622,L'erreur est humaine,To err is human = errare humanum est
623,"L'erreur est humaine; pardonner, divin.","To err is human; to forgive, divine."
624,L'erreur est une condition de vie aussi importante que la vérité. Carl-Gustav Jung,Error is just as important a condition of life as truth. Carl Gustav Jung
625,Les absents ont toujours tort.,Delay breeds danger.
626,"Les amis montrent leur amour dans les moments difficiles, pas dans le bonheur. -Euripide","Friends show their love in times of trouble, not in happiness. -Euripides"
627,Les amis sont les frères et sœurs que Dieu ne nous a jamais donnés. -Mencius,Friends are the siblings God never gave us. -Mencius
628,"Les arbres solitaires, s'ils poussent du tout, deviennent forts. -Winston Churchill","Solitary trees, if they grow at all, grow strong. -Winston Churchill"
629,Les bons comptes font les bons amis,Short reckonings make long friends
630,Les choses les plus importantes dans la vie ne sont pas des choses.- Anthony J. D'Angelo,The most important things in life aren’t things.- Anthony J. D’Angelo
631,Les choses que nous aimons nous disent ce que nous sommes. -Thomas d'Aquin,The things that we love tell us what we are. -Thomas Aquinas
632,Les choses qui étaient difficiles à supporter sont douces à retenir. Lucius Annaeus Sénèque,Things that were hard to bear are sweet to remember. Lucius Annaeus Seneca
633,Les deux guerriers les plus puissants sont la patience et le temps. -Léon Tolstoï,The two most powerful warriors are patience and time. -Leo Tolstoy 
634,Les doutes sont la mort. Maharishi Mahesh Yogi,Doubts are death. Maharishi Mahesh Yogi
635,Les enfants ont plus besoin de modèles que de critiques. Manteaux Carolyn,Children have more need of models than of critics. Carolyn Coats
636,Les ennemis crient toujours le plus fort. Tucker Max,The haters always scream the loudest. Tucker Max
637,Les erreurs sont les portes de la découverte. James Joyce,Mistakes are the portals of discovery. James Joyce
638,"Les fermes, les endurants, les simples et les modestes sont proches de la vertu. Confucius","The firm, the enduring, the simple, and the modest are near to virtue. Confucius"
639,Les gens ne voient que ce qu'ils sont prêts à voir. Ralph Waldo Emerson,People only see what they are prepared to see. Ralph Waldo Emerson
640,Les gens sont seuls parce qu'ils construisent des murs au lieu de ponts. -Joseph F. Newton,People are lonely because they build walls instead of bridges. -Joseph F. Newton
641,Les grandes actions sont généralement accomplies à grands risques. Hérodote,Great deeds are usually wrought at great risks. Herodotus
642,Les grands esprits se rencontrent,Great minds think alike
643,"Les haineux continuent de détester, parce que quelqu'un doit le faire. Chris Brown","Haters keep on hating, cause somebody’s gotta do it. Chris Brown"
644,"Les hommes bâtissent, les femmes font les foyers",Men make houses but women make homes
645,Les jours se mesurent par ce qu'on fait.,"The better day, the better deed."
646,Les larmes sont des mots qui doivent être écrits. Paulo Coelho,Tears are words that need to be written. Paulo Coelho
647,"Les leaders ne créent pas d'adeptes, ils créent plus de leaders. Tom Peters","Leaders don’t create followers, they create more leaders. Tom Peters"
648,"Les limites, comme la peur, sont souvent une illusion. Michael Jordan","Limits, like fear, is often an illusion. Michael Jordan"
649,Les mauvais ouvriers ont toujours de mauvais outils,The bad workman blames his tools
650,Les neuf dixièmes de l'éducation sont des encouragements. Anatole France,Nine tenths of education is encouragement. Anatole France
651,Les personnes qui vivent profondément n'ont pas peur de la mort. Anaïs Nin,People living deeply have no fear of death. Anaïs Nin
652,Les petits profits arrondissent la bourse.,Light gains make a heavy purse.
653,Les petits ruisseaux font les grandes rivières,Little brooks make great rivers
654,Les plus belles choses sont celles que la folie suscite et que la raison écrit. André Gide,The most beautiful things are those that madness prompts and reason writes. André Gide
655,Les querelles d'amoureux sont le renouveau de l'amour. -Térence,Lovers quarrels are the renewal of love. -Terence
656,"Les racines de l'éducation sont amères, mais le fruit est doux. Aristote","The roots of education are bitter, but the fruit is sweet. Aristotle"
657,Les regrets appartiennent au passé. Marlon Brando,Regrets belong to the past. Marlon Brando
658,Les regrets sont la propriété naturelle des cheveux gris. Charles Dickens,Regrets are the natural property of grey hairs. Charles Dickens
659,"Les regrets sont ridicules, donc je ne regrette pas, non. Nicole Kidman","Regrets are ridiculous, so I don’t regret, no. Nicole Kidman"
660,Les rêves sont souvent les plus profonds lorsqu'ils semblent les plus fous. -Sigmund Freud,Dreams are often most profound when they seem the most crazy. -Sigmund Freud
661,Les rêveurs sont les sauveurs du monde.- James Allen,The dreamers are the saviors of the world.- James Allen 
662,"Les temps difficiles ne durent jamais, mais les gens durs oui.","Tough times never last, but tough people do."
663,L'esprit désapprend difficilement ce qu'il a appris depuis longtemps. Lucius Annaeus Sénèque,The mind unlearns with difficulty what it has long learned. Lucius Annaeus Seneca
664,L'esprit est tout. Ce que vous pensez devenir. Bouddha,The mind is everything. What you think you become. Buddha
665,L'esprit le plus sage a encore quelque chose à apprendre. –Georges Santanaya,The wisest mind has something yet to learn. –George Santanaya
666,"L'esprit n'est pas un vase à remplir, mais un feu à allumer. Plutarque","The mind is not a vessel to be filled, but a fire to be kindled. Plutarch"
667,L'esprit qui est toujours après des explications est un esprit effrayé. Osho,The mind that is always after explanations is an afraid mind. Osho
668,L'esprit qui s'inquiète de l'avenir est misérable. Lucius Annaeus Sénèque,The mind that is anxious about the future is miserable. Lucius Annaeus Seneca
669,"L'essence de tout bel art, de tout grand art, c'est la gratitude. -Friedrich Nietzsche","The essence of all beautiful art, all great art, is gratitude. -Friedrich Nietzsche"
670,L'éthique n'est rien d'autre que le respect de la vie. Albert Schweitzer,Ethics is nothing else than reverence for life. Albert Schweitzer
671,L'exception confirme la règle,The exception proves the rule
672,L'expérience est le nom que nous donnons à nos erreurs. Oscar Wilde,Experience is the name we give to our mistakes. Oscar Wilde
673,L'habit ne fait pas le moine,Clothes don't make the man
674,L'habitude rend tout facile.,Assiduity makes all things easy
675,L'homme affamé n'est pas un homme libre.,A hungry man is an angry man
676,L'homme bon est l'ami de tous les êtres vivants. - Mahatma Gandhi,The good man is the friend of all living things. -Mahatma Gandhi
677,L'homme est la seule créature qui refuse d'être ce qu'il est. -Albert Camus,Man is the only creature that refuses to be what he is. -Albert Camus
678,L'homme est l'artisan de son propre bonheur. -Henry David Thoreau,Man is the artificer of his own happiness. -Henry David Thoreau
679,"L'homme fait ce qu'il peut, et Dieu, ce qu'il veut.","Man does what he can, But God what he will."
680,L'homme le plus sage est généralement celui qui s'en croit le moins. Nicolas Baileau,The wisest man is generally he who thinks himself the least so. Nicolas Baileau
681,"L'homme propose, Dieu dispose","Man proposes, God disposes"
682,L'homme qui n'a pas d'imagination n'a pas d'ailes. Mohamed Ali,The man who has no imagination has no wings. Muhammad Ali
683,L'homme qui veut diriger l'orchestre doit tourner le dos à la foule. -James Crook,The man who wants to lead the orchestra must turn his back on the crowd. -James Crook
684,L'honnêteté est le premier chapitre du livre de la sagesse. Thomas Jefferson,Honesty is the first chapter in the book of wisdom. Thomas Jefferson
685,L'honnêteté est toujours récompensée,Honesty is the best policy
686,L'humilité est le fondement solide de toutes les vertus. Confucius,Humility is the solid foundation of all virtues. Confucius
687,L'humour est la plus grande bénédiction de l'humanité. Mark Twain,Humor is mankind’s greatest blessing. Mark Twain
688,L'humour vient de la confiance en soi. Rita Mae Brun,Humor comes from self-confidence. Rita Mae Brown
689,L'idée est de mourir jeune le plus tard possible. Ashley Montague,The idea is to die young as late as possible. Ashley Montagu
690,L'imagination domine le monde. Napoléon Bonaparte,Imagination rules the world. Napoleon Bonaparte
691,L'important est de ne pas s'arrêter de se questionner. Albert Einstein,The important thing is not to stop questioning. Albert Einstein
692,L'inactivité est la mort. Benito Mussolini,Inactivity is death. Benito Mussolini
693,L'innocence est à la fois courage et clarté. -Osho,Innocence is courage and clarity both. -Osho
694,L'inquiétude donne souvent à une petite chose une grande ombre. proverbe suédois,Worry often gives a small thing a big shadow. Swedish proverb
695,L'intelligence est la capacité à s'adapter au changement. Stephen Hawking,Intelligence is the ability to adapt to change. Stephen Hawking
696,L'objet de l'homme supérieur est la vérité. -Confucius,The object of the superior man is truth. -Confucius
697,L'œil du maître fait mieux que ses deux mains.,The eye of the master does more than both his hands.
698,"Loin des yeux, loin du cœur","Out of sight, out of mind"
699,"L'oiseau un nid, l'araignée une toile, l'homme l'amitié. -William Blake","The bird a nest, the spider a web, man friendship. -William Blake"
700,L'oisiveté est mère de tous les vices,Idleness is the root of all evil (GB) = Idle hands are the devil's workshop (US)
701,L'ordre apporte la paix. -Sainte-Augustine,Order brings peace. -St-Augustine
702,L'originalité n'est qu'une imitation judicieuse. Voltaire,Originality is nothing but judicious imitation. Voltaire
703,"Lorsque vous blâmez les autres, vous renoncez à votre pouvoir de changer. Robert Antoine","When you blame others, you give up your power to change. Robert Anthony"
704,"Lorsque vous cessez de rêver, vous cessez de vivre. — Malcom Forbes", “When you cease to dream you cease to live.” — Malcolm Forbes
705,"Lorsque vous vous donnez, vous recevez plus que vous ne donnez. Antoine de Saint-Exupéry","When you give yourself, you receive more than you give. Antoine de Saint-Exupery"
706,L'union fait la force,"United we stand, divided we fall"
707,Ma confiance vient de la routine quotidienne - m'entraîner jour après jour. J'espère en solo,My confidence comes from the daily grind – training my butt off day in and day out. Hope Solo
708,"Ma peur n'était pas la mort elle-même, mais une mort sans signification. Huey Newton","My fear was not of death itself, but a death without meaning. Huey Newton"
709,Ma religion est très simple. Ma religion est la gentillesse.- Dalaï Lama,My religion is very simple. My religion is kindness.- Dalai Lama
710,Ma réputation grandit à chaque échec. George Bernard Shaw,My reputation grows with every failure. George Bernard Shaw
711,"Ma tête a des regrets, mais je n'en ai pas. Franck Bruno","My head has got regrets, but I haven’t. Frank Bruno"
712,Ma vie est mon argument.- Albert Schweitzer,My life is my argument.- Albert Schweitzer
713,Ma vie est mon message.- Mahatma Gandhi,My life is my message.- Mahatma Gandhi
714,Ma vie est parfaite même quand elle ne l'est pas. Ellen Degeneres,My life is perfect even when it’s not. Ellen DeGeneres
715,"Ma vie, ma mort, mon choix. Terry Pratchet","My life, my death, my choice. Terry Pratchett"
716,"Mal fermé, mal gardé.","Fast bind, fast find"
717,"Marché qu'on n'arrose pas, vous reste souvent sur les bras.","Dry bargains, are seldom successful."
718,Mauvais poulain peut faire un bon cheval.,A ragged colt may make a good horse.
719,"Même à badigeonner, il y a un savoir-faire",There is craft in daubing.
720,"Merde, faisons-le. -Richard Branson","Screw it, let’s do it. -Richard Branson"
721,Mieux vaut acheter qu'emprunter,Better buy than borrow.
722,"Mieux vaut arriver sur la fin d'un repas, qu'au commencement d'un combat","Better at the latter end of a feast, than the beginning of a fray."
723,Mieux vaut avoir aimé et perdu que de ne jamais avoir aimé du tout.,Tis better to have loved and lost than never to have loved at all.
724,Mieux vaut être borgne qu'aveugle.,Better one eye than quite blind
725,"Mieux vaut louer les vertus d'un ennemi, que flatter les vices d'un ami.","Better to commend the virtue of an enemy, than flatter the vice of a friend"
726,"Mieux vaut mourir ruiné, que de vivre affamé.","Better die a beggar, than live a beggar."
727,Mieux vaut prévenir que guérir,An ounce of prevention is worth a pound of cure
728,Mieux vaut tard que jamais,Better late than never
729,"Mieux vaut un ""oups"" qu'un ""et si"".",Better an ‘oops’ than a ‘what if’.
730,"Mieux vaut ventre crevé, que bon coup laissé.","Better belly burst, than good drink lost."
731,"Moins j'en avais besoin, mieux je me sentais. -Charles Bukowski","The less I needed, the better I felt. -Charles Bukowski"
732,"Moins on en dit, mieux ça vaut","The less said (about it), the better"
733,Mon but dans la vie n'est pas de juger. -Jeanne Moreau,My aim in life is not to judge. -Jeanne Moreau
734,Mon fort est la maladresse. -Zach Galifianakis,My forte is awkwardness. -Zach Galifianakis
735,Mon meilleur ami est celui qui fait ressortir le meilleur de moi. -Henry Ford,My best friend is the one who brings out the best in me. -Henry Ford
736,"Mon objectif n'est plus d'en faire plus, mais plutôt d'avoir moins à faire. -Francine Jay","My goal is no longer to get more done, but rather to have less to do. -Francine Jay"
737,"N'aie qu'un ami, et point d'ennemi.","Be a friend to one, and an enemy to none."
738,N'aime jamais quelqu'un qui te traite comme si tu étais ordinaire. -Oscar Wilde,Never love anyone who treats you like you’re ordinary. -Oscar Wilde
739,N'allonge pas ton bras au delà de ta manche.,Stretch your arm no farther than your sleeve.
740,N'attendez pas. Le moment ne sera jamais le bon. -Mark Twain,Don’t wait. The time will never be just right. -Mark Twain
741,"Ne cherche point par la force, ce que tu peux obtenir de bon gré","Never seek that by foul means, which you may have by fair."
742,"Ne cherchez pas la grandeur, mais cherchez la vérité et vous trouverez les deux. -Horace Man","Seek not greatness, but seek truth and you will find both. -Horace Mann"
743,Ne confondez jamais mouvement et action. Benjamin Franklin,Never confuse motion with action. Benjamin Franklin
744,Ne confondez pas activité et réussite. Jean en bois,Don’t mistake activity with achievement. John Wooden
745,Ne craignez pas tant la mort mais plutôt la vie inadéquate. Bertold Brecht,Do not fear death so much but rather the inadequate life. Bertolt Brecht
746,Ne laissez jamais les choses que vous voulez vous faire oublier les choses que vous avez.,Never let the things you want make you forget the things you have.
747,Ne laissez pas hier prendre trop de place sur aujourd'hui. -Will Rogers,Don’t let yesterday take up too much of today. -Will Rogers
748,Ne laissez pas l'école interférer avec votre éducation. Mark Twain,Don’t let schooling interfere with your education. Mark Twain
749,"Ne pleure pas parce que c'est fini, souris parce que c'est arrivé. - Dr. Seuss","“Don’t cry because it’s over, smile because it happened.” — Dr. Seuss"
750,"Ne pleure pas parce que c'est fini, souris parce que c'est arrivé. -Dr. Seuss","Don’t cry because it’s over, smile because it happened. -Dr. Seuss"
751,"Ne pouvant gouverner les événements, je me gouverne moi-même. Michel de Montaigne","Not being able to govern events, I govern myself. Michel de Montaigne"
752,Ne prenez jamais de décisions permanentes basées sur des sentiments temporaires.,Never make permanent decisions based on temporary feelings.
753,Ne prenez pas la vie trop au sérieux. Vous n'en sortirez jamais vivant. Elbert Hubbard,Don’t take life too seriously. You’ll never get out of it alive. Elbert Hubbard 
754,"Ne priez pas pour une vie plus facile, priez pour être un homme plus fort. John F. Kennedy","Do not pray for an easier life, pray to be a stronger man. John F. Kennedy"
755,Ne regrette jamais rien car une fois c'était exactement ce que tu voulais.,Never regret anything because one time it was exactly what you wanted.
756,Ne révélez jamais une faiblesse à un adversaire,Never tell an enemy that your foot aches
757,Ne rien négliger.- Euripide,Leave no stone unturned.- Euripides
758,"Ne soyons pas étroits, méchants et négatifs. TS Eliot","Let’s not be narrow, nasty, and negative. T. S. Eliot"
759,Ne te brûle pas les doigts à moucher la chandelle d'autrui.,Burn not thy fingers to snuff another man's candle.
760,"Ne traversez pas la vie, grandissez dans la vie. -Eric Butterworth","Don’t go through life, grow through life. -Eric Butterworth"
761,"Ne trouvez pas de faute, trouvez un remède. Henry Ford","Don’t find fault, find a remedy. Henry Ford"
762,Ne vante pas le gué avant de l'avoir passé.,"Never praise a ford, till you get over."
763,Ne vous arrêtez pas tant que vous n'êtes pas fier.,Don’t stop until you’re proud.
764,"Ne vous inquiétez pas, soyez heureux. Bobby Mc Ferrin","Don’t worry, be happy. Bobby McFerrin"
765,Ne vous pressez pas. Ne vous inquiétez pas. Faites de votre mieux et laissez reposer.,Don’t hurry. Don’t worry. Do your best and let it rest.
766,Nécessité fait loi,Necessity knows no law
767,N'importe quel imbécile peut savoir. Le but est de comprendre. Albert Einstein,Any fool can know. The point is to understand. Albert Einstein
768,N'importe qui peut tenir la barre quand la mer est calme. Publilius Syrus,Anyone can hold the helm when the sea is calm. Publilius Syrus
769,N'importe qui peut tenir la barre quand la mer est calme. —Publilius Syrus,Anyone can hold the helm when the sea is calm. —Publilius Syrus
770,Nommez le plus grand de tous les inventeurs. Accident. Mark Twain,Name the greatest of all inventors. Accident. Mark Twain
771,"Notre affaire est avec la vie, pas la mort. Georges Wald","Our business is with life, not death. George Wald"
772,Notre seule sécurité est notre capacité à changer. Jean Lily,Our only security is our ability to change. John Lilly
773,Nous avons l'art pour ne pas mourir de la vérité.- Friedrich Nietzsche,We have art in order not to die of the truth.- Friedrich Nietzsche
774,Nous devons être à nous avant de pouvoir appartenir à un autre. -Ralph Waldo Emerson,We must be our own before we can be another’s. -Ralph Waldo Emerson
775,"Nous écrivons pour goûter la vie deux fois, dans l'instant et rétrospectivement. Anaïs Nin","We write to taste life twice, in the moment and in retrospect. Anaïs Nin"
776,"Nous faisons tous des choix, mais à la fin nos choix nous font.","We all make choices, but in the end our choices make us."
777,Nous ne saurons jamais tout le bien qu'un simple sourire peut faire. -Mère Teresa,We shall never know all the good that a simple smile can do. -Mother Teresa
778,"Nous recherchons quelque chose de permanent, quelque chose qui va durer. -Jiddu Krishnamurti","We search something permanent, something that will last. -Jiddu Krishnamurti"
779,Nous sommes ce que nous croyons être. -C.S. Lewis,We are what we believe we are. -C.S. Lewis
780,Nous sommes doublement armés si nous combattons avec foi. -Platon,We are twice armed if we fight with faith. -Plato
781,"Nous sommes tous différents. Ne jugez pas, comprenez plutôt. -Roy T. Bennett","We are all different. Don’t judge, understand instead. -Roy T. Bennett"
782,Nous visons au-dessus de la marque pour atteindre la marque. Ralph Waldo Emerson,We aim above the mark to hit the mark. Ralph Waldo Emerson
783,"Nous vivons tous, en ce moment, la vie que nous choisissons. -Peter McWilliams","We are all, right now, living the life we choose. -Peter McWilliams"
784,"Nous voulons de la prévisibilité, même si c'est impossible à obtenir. Henri Junttila","We want predictability, even though it’s impossible to get. Henri Junttila"
785,Nul flux sans reflux.,Every flow has its ebb.
786,Nul n'est risible qui se moque de lui-même. -Lucius Annaeus Sénèque,No one is laughable who laughs at himself. -Lucius Annaeus Seneca
787,"Nul qui soit fou toujours, nul qui ne le soit parfois.","No man is a fool always, every one some times."
788,"Observez tous les hommes, surtout vous-même. Benjamin Franklin","Observe all men, thyself most. Benjamin Franklin"
789,"Oeil pour oeil, dent pour dent","An eye for an eye, a tooth for a tooth"
790,On a toujours le même âge à l'intérieur. Gertrude Stein,We are always the same age inside. Gertrude Stein
791,On m'a appris que le chemin du progrès n'est ni rapide ni facile. Marie Curie,I was taught the way of progress is neither swift nor easy. Marie Curie
792,On n'a jamais peur de l'inconnu; on a peur que le connu touche à sa fin. -Jiddu Krishnamurti,One is never afraid of the unknown; one is afraid of the known coming to an end. -Jiddu Krishnamurti
793,On n'a que ce qu'on mérite.,"First deserve, and then desire."
794,On n'arrête pas le temps qui passe.,Time and tie wait for no man ( US )
795,On ne fait pas d'omelette sans casser d'œufs,You can't make an omelette without breaking some eggs
796,On ne peut avoir le beurre et l'argent du beurre,You can't have your cake and eat it.
797,On ne sait jamais,You never can tell
798,On ne se lie pas au premier mot.,"More words than one, go to a bargain."
799,"On ne vit qu'une fois, mais si on le fait bien, une fois suffit. — Mae West","“You only live once, but if you do it right, once is enough.” — Mae West"
800,On n'est jamais si bien servi que par soi-même,"If you want something done right, do it yourself"
